Index,MSB,LSB,PRG,Name
1,121,0,1,Piano 1
2,121,1,1,Piano 1w
3,121,2,1,European Pf
4,121,0,2,Piano 2
5,121,1,2,Piano 2w
6,121,0,3,Piano 3
7,121,1,3,Piano 3w
8,121,0,4,Honky-tonk
9,121,1,4,Honky-tonk 2
10,121,0,5,E.Piano 1
11,121,1,5,St.Soft EP
12,121,2,5,FM+SA EP
13,121,3,5,Wurly
14,121,0,6,E.Piano 2
15,121,1,6,Detuned EP 2
16,121,2,6,St.FM EP
17,121,3,6,EP Legend
18,121,4,6,EP Phase
19,121,0,7,Harpsichord
20,121,1,7,Coupled Hps.
21,121,2,7,Harpsi.w
22,121,3,7,Harpsi.o
23,121,0,8,Clav.
24,121,1,8,Pulse Clav
25,121,0,9,Celesta
26,121,0,10,Glockenspiel
27,121,0,11,Music Box
28,121,0,12,Vibraphone
29,121,1,12,Vibraphone w
30,121,0,13,Marimba
31,121,1,13,Marimba w
32,121,0,14,Xylophone
33,121,0,15,Tubular-bell
34,121,1,15,Church Bell
35,121,2,15,Carillon
36,121,0,16,Santur
37,121,0,17,Organ 1
38,121,1,17,Trem. Organ
39,121,2,17,60's Organ 1
40,121,3,17,70's E.Organ
41,121,0,18,Organ 2
42,121,1,18,Chorus Or.2
43,121,2,18,Perc. Organ
44,121,0,19,Organ 3
45,121,0,20,Church Org.1
46,121,1,20,Church Org.2
47,121,2,20,Church Org.3
48,121,0,21,Reed Organ
49,121,1,21,Puff Organ
50,121,0,22,Accordion Fr
51,121,1,22,Accordion It
52,121,0,23,Harmonica
53,121,0,24,Bandoneon
54,121,0,25,Nylon-str.Gt
55,121,1,25,Ukulele
56,121,2,25,Nylon Gt.o
57,121,3,25,Nylon Gt.2
58,121,0,26,Steel-str.Gt
59,121,1,26,12-str.Gt
60,121,2,26,Mandolin
61,121,3,26,Steel + Body
62,121,0,27,Jazz Gt.
63,121,1,27,Pedal Steel
64,121,0,28,Clean Gt.
65,121,1,28,Chorus Gt.
66,121,2,28,Mid Tone GTR
67,121,0,29,Muted Gt.
68,121,1,29,Funk Pop
69,121,2,29,Funk Gt.2
70,121,3,29,Jazz Man
71,121,0,30,Overdrive Gt
72,121,1,30,Guitar Pinch
73,121,0,31,DistortionGt
74,121,1,31,Feedback Gt.
75,121,2,31,Dist Rtm GTR
76,121,0,32,Gt.Harmonics
77,121,1,32,Gt. Feedback
78,121,0,33,Acoustic Bs.
79,121,0,34,Fingered Bs.
80,121,1,34,Finger Slap
81,121,0,35,Picked Bass
82,121,0,36,Fretless Bs.
83,121,0,37,Slap Bass 1
84,121,0,38,Slap Bass 2
85,121,0,39,Synth Bass 1
86,121,1,39,SynthBass101
87,121,2,39,Acid Bass
88,121,3,39,Clavi Bass
89,121,4,39,Hammer
90,121,0,40,Synth Bass 2
91,121,1,40,Beef FM Bass
92,121,2,40,RubberBass 2
93,121,3,40,Attack Pulse
94,121,0,41,Violin
95,121,1,41,Slow Violin
96,121,0,42,Viola
97,121,0,43,Cello
98,121,0,44,Contrabass
99,121,0,45,Tremolo Str
100,121,0,46,PizzicatoStr
101,121,0,47,Harp
102,121,1,47,Yang Qin
103,121,0,48,Timpani
104,121,0,49,Strings
105,121,1,49,Orchestra
106,121,2,49,60s Strings
107,121,0,50,Slow Strings
108,121,0,51,Syn.Strings1
109,121,1,51,Syn.Strings3
110,121,0,52,Syn.Strings2
111,121,0,53,Choir Aahs
112,121,1,53,Chorus Aahs
113,121,0,54,Voice Oohs
114,121,1,54,Humming
115,121,0,55,SynVox
116,121,1,55,Analog Voice
117,121,0,56,OrchestraHit
118,121,1,56,Bass Hit
119,121,2,56,6th Hit
120,121,3,56,Euro Hit
121,121,0,57,Trumpet
122,121,1,57,Dark Trumpet
123,121,0,58,Trombone
124,121,1,58,Trombone 2
125,121,2,58,Bright Tb
126,121,0,59,Tuba
127,121,0,60,MutedTrumpet
128,121,1,60,MuteTrumpet2
129,121,0,61,French Horns
130,121,1,61,Fr.Horn 2
131,121,0,62,Brass 1
132,121,1,62,Brass 2
133,121,0,63,Synth Brass1
134,121,1,63,Pro Brass
135,121,2,63,Oct SynBrass
136,121,3,63,Jump Brass
137,121,0,64,Synth Brass2
138,121,1,64,SynBrass sfz
139,121,2,64,Velo Brass 1
140,121,0,65,Soprano Sax
141,121,0,66,Alto Sax
142,121,0,67,Tenor Sax
143,121,0,68,Baritone Sax
144,121,0,69,Oboe
145,121,0,70,English Horn
146,121,0,71,Bassoon
147,121,0,72,Clarinet
148,121,0,73,Piccolo
149,121,0,74,Flute
150,121,0,75,Recorder
151,121,0,76,Pan Flute
152,121,0,77,Bottle Blow
153,121,0,78,Shakuhachi
154,121,0,79,Whistle
155,121,0,80,Ocarina
156,121,0,81,Square Wave
157,121,1,81,MG Square
158,121,2,81,2600 Sine
159,121,0,82,Saw Wave
160,121,1,82,OB2 Saw
161,121,2,82,Doctor Solo
162,121,3,82,Natural Lead
163,121,4,82,SequencedSaw
164,121,0,83,Syn.Calliope
165,121,0,84,Chiffer Lead
166,121,0,85,Charang
167,121,1,85,Wire Lead
168,121,0,86,Solo Vox
169,121,0,87,5th Saw Wave
170,121,0,88,Bass & Lead
171,121,1,88,Delayed Lead
172,121,0,89,Fantasia
173,121,0,90,Warm Pad
174,121,1,90,Sine Pad
175,121,0,91,Polysynth
176,121,0,92,Space Voice
177,121,1,92,Itopia
178,121,0,93,Bowed Glass
179,121,0,94,Metal Pad
180,121,0,95,Halo Pad
181,121,0,96,Sweep Pad
182,121,0,97,Ice Rain
183,121,0,98,Soundtrack
184,121,0,99,Crystal
185,121,1,99,Syn Mallet
186,121,0,100,Atmosphere
