Index, Name
000,   ------------
001,   StGrand L pA
002,   StGrand R pA
003,   StGrand L pB
004,   StGrand R pB
005,   StGrand L pC
006,   StGrand R pC
007,   StGrand L fA
008,   StGrand R fA
009,   StGrand L fB
010,   StGrand R fB
011,   StGrand L fC
012,   StGrand R fC
013,   E.GrandPf p
014,   E.GrandPf f
015,   SA Piano
016,   Stage p A
017,   Stage f A
018,   E.Piano 1p
019,   E.Piano 2p
020,   E.Piano 1f
021,   Dyn Rhd mp A
022,   Dyn Rhd mp B
023,   Dyn Rhd mp C
024,   Dyn Rhd mf A
025,   Dyn Rhd mf B
026,   Dyn Rhd mf C
027,   Dyn Rhd ff A
028,   Dyn Rhd ff B
029,   Dyn Rhd ff C
030,   Wurly Soft
031,   Wurly f
032,   E.Piano 2f
033,   E.Piano 3
034,   Harpsichord
035,   Harpsi B
036,   Harpsi C
037,   Clav 1
038,   Clav 2
039,   Clav Attack
040,   Celesta
041,   Glockenspiel
042,   Music Box
043,   Vibraphone
044,   Marimba
045,   Xylophone
046,   Tubebell
047,   Chime
048,   Santur
049,   Organ C3
050,   Organ B3
051,   Jazz Organ
052,   Organ Noise
053,   Organ 1
054,   Organ 2
055,   Organ 3
056,   Organ 4
057,   60's Organ1
058,   60's Organ2
059,   60's Organ3
060,   60's Organ4
061,   Full Organ
062,   Full Draw
063,   Rock Organ
064,   Dist. Organ
065,   Rot.Org Slw
066,   Rot.Org Fst
067,   Church Organ
068,   Church Org 2
069,   Reed Organ
070,   Organ Flute8
071,   F.AccordionA
072,   F.AccordionB
073,   It Muset
074,   Harmonica
075,   NylonGt4 p A
076,   NylonGt4 p B
077,   NylonGt4 p C
078,   NylonGt4 f A
079,   NylonGt4 f B
080,   NylonGt4 f C
081,   Steel-Gt mpA
082,   Steel-Gt mpB
083,   Steel-Gt mpC
084,   E.AcoGuitarA
085,   E.AcoGuitarB
086,   E.AcoGuitarC
087,   Banjo
088,   Pedal Steel
089,   JazzGt2 p A
090,   JazzGt2 p B
091,   JazzGt2 p C
092,   JazzGt2 f A
093,   JazzGt2 f B
094,   JazzGt2 f C
095,   ClnGt Rear A
096,   ClnGt Rear B
097,   ClnGt Half
098,   Clean TC 1 A
099,   Clean TC 1 B
100,   Clean TC 1 C
101,   Clean TC2 pA
102,   Clean TC2 pB
103,   Clean TC2 pC
104,   Clean TC2 fA
105,   Clean TC2 fB
106,   Clean TC2 fC
107,   335Gt f A
108,   335Gt f B
109,   335Gt f C
110,   CleanGt2 A
111,   CleanGt2 B
112,   CleanGt2 C
113,   TC Mute Gt
114,   Funk Guitar
115,   Muted Gt.3
116,   Overdrive 1
117,   Harmo Gt.OD
118,   Dist Gt.
119,   Mute Dist
120,   Harmo Gt.
121,   Silent Bs
122,   Cb brtk pizz
123,   P.Bass 3 A
124,   P.Bass 3 B
125,   P.Bass 3 C
126,   Jazz Bass3 A
127,   Jazz Bass3 B
128,   Jazz Bass3 C
129,   Muted Bass A
130,   Muted Bass B
131,   Muted Bass C
132,   Fretless Bs
133,   Slap Bass 1
